response__holidays__name,response__holidays__country__name,response__holidays__date__iso
Chhat Puja (Pratihar Sashthi/Surya Sashthi),India,2017-10-26
Halloween,India,2017-10-31
Guru Nanak Jayanti,India,2017-11-04
Guru Tegh Bahadur's Martyrdom Day,India,2017-11-24
Milad un-Nabi/Id-e-Milad,India,2017-12-02
First Day of Hanukkah,India,2017-12-13
Last day of Hanukkah,India,2017-12-20
December Solstice,India,2017-12-21
Christmas Eve,India,2017-12-24
Christmas,India,2017-12-25
Guru Govind Singh Jayanti,India,2017-12-25
New Year's Eve,India,2017-12-31
New Year's Day,India,2013-01-01
Makar Sankranti,India,2013-01-13
Pongal,India,2013-01-14
Guru Govind Singh Jayanti,India,2013-01-18
Milad un-Nabi/Id-e-Milad,India,2013-01-25
Republic Day,India,2013-01-26
Chinese New Year,India,2013-02-10
Valentine's Day,India,2013-02-14
Vasant Panchami,India,2013-02-15
Shivaji Jayanti,India,2013-02-19
Maharishi Dayanand Saraswati Jayanti,India,2013-02-23
Guru Ravidas Jayanti,India,2013-02-25
Maha Shivaratri/Shivaratri,India,2013-03-10
March Equinox,India,2013-03-20
First day of Passover,India,2013-03-26
Holika Dahana,India,2013-03-26
Holi,India,2013-03-27
Holi,India,2013-03-27
Maundy Thursday,India,2013-03-28
Good Friday,India,2013-03-29
Easter Day,India,2013-03-31
Chaitra Sukhladi,India,2013-04-11
Vaisakhi,India,2013-04-13
Mesadi/Vaisakhadi,India,2013-04-14
Ambedkar Jayanti,India,2013-04-14
Rama Navami,India,2013-04-19
Mahavir Jayanti,India,2013-04-24
May Day,India,2013-05-01
Birthday of Ravindranath,India,2013-05-08
Mother's Day,India,2013-05-12
Hazarat Ali's Birthday,India,2013-05-24
Buddha Purnima/Vesak,India,2013-05-25
Father's Day,India,2013-06-16
June Solstice,India,2013-06-21
Rath Yatra,India,2013-07-10
Guru Purnima,India,2013-07-22
Jamat Ul-Vida,India,2013-08-02
Friendship Day,India,2013-08-04
Ramzan Id/Eid-ul-Fitar,India,2013-08-09
Independence Day,India,2013-08-15
Parsi New Year,India,2013-08-18
Raksha Bandhan (Rakhi),India,2013-08-20
Janmashtami,India,2013-08-28
Ganesh Chaturthi/Vinayaka Chaturthi,India,2013-09-09
Onam,India,2013-09-16
September Equinox,India,2013-09-23
Mahatma Gandhi Jayanti,India,2013-10-02
Maha Saptami,India,2013-10-11
Maha Ashtami,India,2013-10-12
Dussehra,India,2013-10-13
Bakr Id/Eid ul-Adha,India,2013-10-16
Maharishi Valmiki Jayanti,India,2013-10-18
Karaka Chaturthi (Karva Chauth),India,2013-10-22
Halloween,India,2013-10-31
Naraka Chaturdasi,India,2013-11-02
Diwali/Deepavali,India,2013-11-03
Govardhan Puja,India,2013-11-04
Bhai Duj,India,2013-11-05
Chhat Puja (Pratihar Sashthi/Surya Sashthi),India,2013-11-08
Muharram/Ashura,India,2013-11-14
Guru Nanak Jayanti,India,2013-11-17
Guru Tegh Bahadur's Martyrdom Day,India,2013-11-24
First Day of Hanukkah,India,2013-11-28
Last day of Hanukkah,India,2013-12-05
December Solstice,India,2013-12-21
Christmas Eve,India,2013-12-24
Christmas,India,2013-12-25
New Year's Eve,India,2013-12-31
